PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,LastName,IsWomanOrBoy,WomanOrBoyCount,FamilySurvivedCount,WomanOrBoySurvived,Alone,Single,SmallF,MedF,LargeF,Deck
1,0.0,1.0,1.0,0.275,0.125,0.0,0.014151057562208049,1.0,0.7142857142857143,0.11441647597254005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2,1.0,0.3333333333333333,0.0,0.475,0.125,0.0,0.13913573538264068,0.0,0.7857142857142857,0.20823798627002288,1.0,0.125,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857
3,1.0,1.0,0.0,0.325,0.0,0.0,0.015468569817999833,1.0,0.6428571428571429,0.37643020594965676,1.0,0.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,1.0,0.3333333333333333,0.0,0.4375,0.125,0.0,0.10364429745562033,1.0,0.7857142857142857,0.30549199084668194,1.0,0.125,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857
5,0.0,1.0,1.0,0.4375,0.0,0.0,0.015712553569072387,1.0,0.7142857142857143,0.017162471395881007,0.0,0.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,0.0,1.0,1.0,0.325,0.0,0.0,0.01650950209357577,0.5,0.7142857142857143,0.6155606407322655,0.0,0.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,0.0,0.3333333333333333,1.0,0.675,0.0,0.0,0.10122885832000206,1.0,0.7142857142857143,0.5720823798627003,0.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714
8,0.0,1.0,1.0,0.025,0.375,0.1111111111111111,0.04113566043083236,1.0,0.5714285714285714,0.6956521739130435,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,1.0,1.0,0.0,0.3375,0.0,0.2222222222222222,0.021730754366528396,1.0,0.7857142857142857,0.43707093821510296,1.0,0.375,0.75,1.0,0.0,0.0,0.0,1.0,0.0,1.0
10,1.0,0.6666666666666666,0.0,0.175,0.125,0.0,0.058694292654020104,0.0,0.7857142857142857,0.6395881006864989,1.0,0.125,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0
11,1.0,1.0,0.0,0.05,0.125,0.1111111111111111,0.03259622914329302,1.0,0.6428571428571429,0.8089244851258581,1.0,0.375,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.8571428571428571
12,1.0,0.3333333333333333,0.0,0.725,0.0,0.0,0.051822148727810165,1.0,0.6428571428571429,0.09839816933638444,1.0,0.25,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.2857142857142857
13,0.0,1.0,1.0,0.25,0.0,0.0,0.015712553569072387,1.0,0.7142857142857143,0.8112128146453089,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
14,0.0,1.0,1.0,0.4875,0.125,0.5555555555555556,0.06104473451835265,1.0,0.7142857142857143,0.02402745995423341,0.0,1.0,0.25,0.125,0.0,0.0,0.0,0.0,1.0,1.0
15,0.0,1.0,0.0,0.175,0.0,0.0,0.015330377421392339,1.0,0.6428571428571429,0.9393592677345538,1.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,1.0,0.6666666666666666,0.0,0.6875,0.0,0.0,0.03122992013728673,1.0,0.7857142857142857,0.38443935926773454,1.0,0.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
17,0.0,1.0,1.0,0.025,0.5,0.1111111111111111,0.056848213999904744,0.5,0.5714285714285714,0.7597254004576659,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,1.0,0.6666666666666666,1.0,0.375,0.0,0.0,0.025374310111545468,1.0,0.7142857142857143,0.9725400457665904,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
19,0.0,1.0,0.0,0.3875,0.125,0.0,0.03513366015444757,1.0,0.7857142857142857,0.9347826086956522,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,1.0,1.0,0.0,0.3875,0.0,0.0,0.014102260811993537,0.0,0.7857142857142857,0.5652173913043478,1.0,0.125,0.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,0.0,0.6666666666666666,1.0,0.4375,0.0,0.0,0.050748620223090936,1.0,0.7142857142857143,0.30663615560640733,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
22,1.0,0.6666666666666666,1.0,0.425,0.0,0.0,0.025374310111545468,1.0,0.7142857142857143,0.07780320366132723,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.42857142857142855
23,1.0,1.0,0.0,0.1875,0.0,0.0,0.015671954672893913,0.5,0.6428571428571429,0.5823798627002288,1.0,0.25,0.25,0.5,0.0,1.0,0.0,0.0,0.0,1.0
